[07.06.2017 | 20:16:33] @Lea [284381796559355904] :   du darfst dann berichten wies war :p
[07.06.2017 | 20:16:41] @Annondir [285510544532832258] :   mach ich
[07.06.2017 | 20:16:44] @Annondir [285510544532832258] :   [lenny]
[07.06.2017 | 20:23:01] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:23:02] @DSABot [320884264956723203] :   15
[07.06.2017 | 20:27:14] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 20:27:14] @DSABot [320884264956723203] :   4, 7, 18
[07.06.2017 | 20:27:28] @Lea [284381796559355904] :   3w20
[07.06.2017 | 20:27:29] @DSABot [320884264956723203] :   8, 18, 19
[07.06.2017 | 20:29:42] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:29:42] @DSABot [320884264956723203] :   19
[07.06.2017 | 20:29:58] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:29:58] @DSABot [320884264956723203] :   2
[07.06.2017 | 20:31:40] @Blacky [Skjöll] [306128089266520066] :   zeichnung evtl
[07.06.2017 | 20:34:10] @Lea [Firiel] [257980400599564292] :   w20
[07.06.2017 | 20:34:10] @DSABot [320884264956723203] :   5
[07.06.2017 | 20:38:01] @Lea [Firiel] [257980400599564292] :   w20
[07.06.2017 | 20:38:02] @DSABot [320884264956723203] :   19
[07.06.2017 | 20:39:09] @Annondir [285510544532832258] :   !messages
[07.06.2017 | 20:39:09] @Annondir [285510544532832258] :   113
[07.06.2017 | 20:41:27] @Lea [Firiel] [257980400599564292] :   3w20
[07.06.2017 | 20:41:28] @DSABot [320884264956723203] :   8, 16, 4
[07.06.2017 | 20:41:37] @Lea [284381796559355904] :   3w20
[07.06.2017 | 20:41:37] @DSABot [320884264956723203] :   12, 4, 10
[07.06.2017 | 20:42:13] @Blacky [Skjöll] [306128089266520066] :   janis wie kannst du es wagen ne dsa runde ohne mich zu spielen ich bin dir beleidigt
[07.06.2017 | 20:42:19] @Blacky [Skjöll] [306128089266520066] :   💔
[07.06.2017 | 20:42:37] @Lea [Firiel] [257980400599564292] :   du wirst es überleben
[07.06.2017 | 20:44:22] @Blacky [Skjöll] [306128089266520066] :   lea ich hab dir das hier besorgt :3 :
[07.06.2017 | 20:44:35] @Lea [284381796559355904] :   3w20
[07.06.2017 | 20:44:36] @DSABot [320884264956723203] :   13, 4, 4
[07.06.2017 | 20:44:50] @Blacky [Skjöll] [306128089266520066] :   http://www.ulisses-spiele.de/produkte/348/praios-vademecum/
[07.06.2017 | 20:46:16] @Eradan [222695270377455617] :   w20
[07.06.2017 | 20:46:16] @DSABot [320884264956723203] :   1
[07.06.2017 | 20:47:21] @Lea [Firiel] [257980400599564292] :   3w20
[07.06.2017 | 20:47:21] @DSABot [320884264956723203] :   13, 1, 15
[07.06.2017 | 20:48:00] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 20:48:00] @DSABot [320884264956723203] :   13, 4, 2
[07.06.2017 | 20:49:26] @Lea [Firiel] [257980400599564292] :   was?
[07.06.2017 | 20:49:34] @Blacky [Skjöll] [306128089266520066] :   passt schon
[07.06.2017 | 20:49:35] @Lea [Firiel] [257980400599564292] :   blacky?
[07.06.2017 | 20:49:45] @Blacky [Skjöll] [306128089266520066] :   .3 hab spaß libelings hartz 4 leschna
[07.06.2017 | 20:49:57] @Lea [Firiel] [257980400599564292] :   merci, ihr auch^^
[07.06.2017 | 20:50:19] @Blacky [Skjöll] [306128089266520066] :   
[07.06.2017 | 20:52:05] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 20:52:05] @DSABot [320884264956723203] :   12, 17, 18
[07.06.2017 | 20:52:10] @Lea [284381796559355904] :   3w20
[07.06.2017 | 20:52:10] @DSABot [320884264956723203] :   17, 8, 16
[07.06.2017 | 20:53:43] @Lea [284381796559355904] :   w20
[07.06.2017 | 20:53:44] @DSABot [320884264956723203] :   10
[07.06.2017 | 21:19:00] @Eradan [222695270377455617] :   3w20
[07.06.2017 | 21:19:00] @DSABot [320884264956723203] :   16, 4, 14
[07.06.2017 | 21:19:10] @Lea [284381796559355904] :   3w20
[07.06.2017 | 21:19:10] @DSABot [320884264956723203] :   19, 8, 13
