[13.06.2017 | 21:23:27] @AveronTV [170815084271108096] :   Ist hier jmd Designer ?
[13.06.2017 | 21:23:39] @The Brandy [286521349025955840] :   In wie fern?
[13.06.2017 | 21:23:53] @Lord Nightcore [315499915851857922] :   ja bin ich ?
[13.06.2017 | 21:23:59] @Lord Nightcore [315499915851857922] :   deswegen auch der bot name etc
[13.06.2017 | 21:24:00] @AveronTV [170815084271108096] :   Banner und PB erstellen kann ?
[13.06.2017 | 21:24:22] @Lord Nightcore [315499915851857922] :   SAO is mein 1st-genannter anime wenns um favoriten geht
[13.06.2017 | 21:24:32] @Lord Nightcore [315499915851857922] :   ja könnt ich machen
[13.06.2017 | 21:24:36] @Lord Nightcore [315499915851857922] :   @AveronTV
[13.06.2017 | 21:24:38] @The Brandy [286521349025955840] :   <-- Elfenlied xD
[13.06.2017 | 21:25:21] @The Brandy [286521349025955840] :   ich war grad iwie bei webseiten xD
[13.06.2017 | 21:25:30] @Lord Nightcore [315499915851857922] :   lass mal pm schreiben wenn du willst
[13.06.2017 | 21:25:36] @Lord Nightcore [315499915851857922] :   muss jz essen bb
[13.06.2017 | 21:25:53] @The Brandy [286521349025955840] :   xD
[13.06.2017 | 21:25:58] @The Brandy [286521349025955840] :   meinst du mich xD?
[13.06.2017 | 21:26:17] @Lord Nightcore [315499915851857922] :   jup. muss jz bin später wieder da
[13.06.2017 | 21:26:29] @The Brandy [286521349025955840] :   Kay xD
[13.06.2017 | 21:28:29] @The Brandy [286521349025955840] :   @AveronTV hab zwar keine ahnung was du bestimmtes willst aber ich könnte es versuchen xD
[13.06.2017 | 21:28:57] @AveronTV [170815084271108096] :   es ging um mein YouTube kanal
[13.06.2017 | 21:29:31] @The Brandy [286521349025955840] :   xD
[13.06.2017 | 21:29:59] @The Brandy [286521349025955840] :   Hast du ne ordentliche ausrüstung so als nebenbei frage? D
[13.06.2017 | 21:30:20] @AveronTV [170815084271108096] :   Ausrüstung ?
[13.06.2017 | 21:30:52] @The Brandy [286521349025955840] :   Mircofon,Pc sowas halt xD
[13.06.2017 | 21:30:58] @AveronTV [170815084271108096] :   Ja
[13.06.2017 | 21:32:07] @The Brandy [286521349025955840] :   Ich warte noch ein paar jahre bevor ich mit YT anfange xD
[13.06.2017 | 21:32:29] @AveronTV [170815084271108096] :   xD
[13.06.2017 | 21:33:43] @The Brandy [286521349025955840] :   Allerdings mach ich YT mit nem Kollegen von mir xD
[13.06.2017 | 22:33:04] @Alala [277179540764360714] :   weiss jemand warum mein dicord bot keine commands nehmen tut ? ?
[13.06.2017 | 22:36:04] @Lord Nightcore [315499915851857922] :   was falsches programmiert oder zeichenfehler?
[13.06.2017 | 22:39:18] @Alala [277179540764360714] :   Nope habe alles so gemacht wie in der youtube reihe es gesagt wurde aber er will es nicht machen :/ der command sieht er aber nimmt ihn nicht
[13.06.2017 | 22:39:48] @Lord Nightcore [315499915851857922] :   welchen willst du denn machen?
[13.06.2017 | 22:40:19] @Alala [277179540764360714] :   einfach das er grade den ping command nimmt das geht nicht
[13.06.2017 | 22:41:00] @Alala [277179540764360714] :   ich lade es mal auf pastebin und send es dir pribvat
[13.06.2017 | 22:41:06] @Lord Nightcore [315499915851857922] :   kk
[13.06.2017 | 22:55:48] @Alala [277179540764360714] :   talk 1
[13.06.2017 | 22:58:40] @AveronTV [170815084271108096] :   ?
