[13.06.2017 | 18:07:06] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Front. [318773753796624394] :   xD
[13.06.2017 | 18:07:16] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @TheDeepSpacer [161855472926720001] :   :papaF: Ich bin eben ein PRofi
[13.06.2017 | 18:07:23] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Front. [318773753796624394] :   Jetzt
[13.06.2017 | 18:10:10] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @TheDeepSpacer [161855472926720001] :   lad ma in orga ein
[13.06.2017 | 18:10:14] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Front. [318773753796624394] :   lass am Flughafen treffen
[13.06.2017 | 18:12:28] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @Front. [318773753796624394] :   Oder nein, wir fahren zu meinem Bunker
[13.06.2017 | 18:12:39] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @TheDeepSpacer [161855472926720001] :   warte ma kurz lass talk
[13.06.2017 | 18:21:34] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   hat hier jemand JS skills?
[13.06.2017 | 18:29:15] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-dev [321779890011766785] @Lord Nightcore [315499915851857922] :   ne sorry
[13.06.2017 | 18:29:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   -dev
[13.06.2017 | 18:29:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:30:33] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @Lord Nightcore [315499915851857922] :   -dev html
[13.06.2017 | 18:30:33] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @zekrosBot [272336949841362944] :   
[13.06.2017 | 18:30:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @zekro [221905671296253953] :   ;dev java css lel
[13.06.2017 | 18:30:38] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @devBot [287538435655204864] :   
[13.06.2017 | 18:30:39] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @devBot [287538435655204864] :   
[13.06.2017 | 18:31:04] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @zekro [221905671296253953] :   ;dev css html lel
[13.06.2017 | 18:31:04] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @devBot [287538435655204864] :   
[13.06.2017 | 18:31:17] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @naix [200627281817763840] :   ich kann aber lel programmieren
[13.06.2017 | 18:31:20] D?RK DEVS   -   Developer Community Server [307084334198816769] || ger-general [308007834807697408] @zekro [221905671296253953] :   ups falscher channel ?
[13.06.2017 | 18:31:34] D?RK DEVS   -   Developer Community Server [307084334198816769] || general [307084334198816769] @TheDeepSpacer [161855472926720001] :   -dev java c#  c++ c html css
